aars2
pde4dip
pds5a
pdss1
pdss2
pelo
pet117
pex1
pex6
pfas
pfdn1
pfdn4
pfdn5
pfn1
pgd
pggt1b
pgk1
pgm3
pgp
pgs1
phf12
phf23
pi4ka
pi4kb
pias1
pigs
pik3c3
pik3ca
pik3cb
pik3r4
pip5k1a
pitrm1
pkn2
plekhm1
pmm2
pmvk
pnisr
pnkp
poc1a
pogz
pole3
pole4
polg
polg2
polq
polr1e
polr2m
polr3d
polrmt
pop7
pot1
pou2f1
ppa1
ppa2
ppat
ppcdc
ppcs
ppih
ppil1
ppm1d
ppm1g
ppme1
ppp1ca
ppp1r12a
ppp1r14b
ppp1r15b
ppp1r2
ppp1r7
ppp2ca
ppp2r1a
ppp2r2a
ppp2r3c
ppp4r2
ppp6c
ppp6r3
pprc1
prcc
prdm10
prdx1
prkar1a
prkra
prkrip1
prpf39
prr13
prrc2a
prrc2c
psmf1
psmg1
psmg2
pspc1
pstk
ptar1
ptbp1
ptcd1
ptcd3
ptdss1
ptk2
ptma
ptp4a1
ptp4a2
ptpmt1
ptpn1
ptpn11
pttg1
pwp1
pxn
pyroxd1
qrich1
qrsl1
rab10
rab18
rab1a
rab1b
rab35
rab5c
rab6a
rab7a
rabif
rac1
rac3
rad1
rad51b
rad51d
rad9a
raf1
ranbp1
ranbp2
ranbp3
rap1b
rars2
rb1cc1
rbbp7
rbm10
rbm12
rbm15
rbm18
rbm27
rbm28
rbm33
rbm42
rbm5
rcor1
rela
rer1
rev1
rev3l
rexo2
rfc1
rfk
rft1
rfwd3
rgp1
rheb
rhoa
rhof
rhpn1
ric8a
rictor
rif1
rmi1
rmi2
rmnd1
rmnd5a
rnaseh2a
rnaseh2c
rnf168
rnf31
rnf4
rnf40
rnf8
rpe
rpia
rpl10
rpl22
rpl22l1
rpl26l1
rpn2
rpp21
rpp30
rpp40
rprd1b
rprd2
rps19bp1
rpusd3
rpusd4
rraga
rragc
rrp1
rrp36
rrp7a
rsad1
rsph9
rsrc2
rtel1
rtn4ip1
rttn
runx2
safb
samd4b
samm50
sap130
sarnp
sars2
sass6
scaf1
scaf4
scap
scd
scnm1
sco1
scyl1
sdha
sdhaf1
sdhaf2
sdhb
sdhc
sdhd
sec16a
sec61b
sec62
sec63
sephs1
sephs2
sepsecs
serbp1
setd1b
setd2
setd5
setdb1
shc1
shoc2
shq1
ska1
ska3
skp2
slc16a1
slc20a1
slc25a1
slc25a19
slc25a26
slc25a28
slc25a3
slc25a5
slc2a1
slc30a9
slc31a1
slc33a1
slc35a2
slc35b2
slc38a2
slc39a10
slc3a2
slc44a3
slc4a7
slc7a1
slc7a5
slc9b1
slirp
slmap
slx4
smarca4
smarca5
smarcb1
smarcc1
smarcd1
smarce1
smg7
smg8
smr3b
sms
snai2
snap23
snap29
snapin
snip1
snrnp40
snrnp48
snrpa
snrpb2
snrpc
socs3
sod2
sos1
sox10
sox2
sox9
sp1
spag5
spata5l1
spcs1
specc1l
spice1
spns1
sprr2g
spryd4
sptlc1
sptlc2
sptssa
srebf1
srek1
srf
srfbp1
srp14
srprb
srrd
srrm2
srsf10
srsf6
ssb
ssbp1
ssbp3
ssr2
stag1
stag2
stambp
stard7
stil
stip1
stk11
stk40
strap
stt3a
stub1
stx4
stxbp3
suds3
sugt1
supt4h1
supt7l
surf4
surf6
suz12
syncrip
sys1
syvn1
tacc3
tada1
tada2a
tada2b
tada3
taf11
taf13
taf1d
taf2
taf3
taf4
taf5l
taf6l
taf8
tamm41
tapt1
tars2
tbca
tbce
tbl1xr1
tcerg1
tcof1
tdgf1
tdp2
tead1
tead3
telo2
ten1
tex10
tfam
tfap4
tfb1m
tfb2m
tfdp1
tfrc
tgfbrap1
tgif1
thap1
thap11
thg1l
thoc6
thrap3
timm10
timm17a
timm22
timm8a
timm9
timmdc1
tiparp
tiprl
tkt
tlcd1
tln1
tm2d2
tmco6
tmed10
tmed2
tmem165
tmem167a
tmem183a
tmem199
tmem30a
tmem41b
tmx2
tnnt2
tnpo1
tns3
toe1
tomm20
tor2a
tox4
tp63
tpi1
tpk1
tprkb
tra2b
traf2
traip
trappc2l
triap1
trim28
trim37
trim61
trip13
trit1
trmt6
trmt61a
trnau1ap
troap
trpm7
trub2
tsc1
tsc2
tsc22d2
tsen2
tsen34
tsen54
tsfm
tspyl5
ttc14
ttc4
ttc7a
ttf2
tti1
tti2
tubb4b
tubd1
tube1
tufm
twf1
txndc17
txnrd1
tyms
uap1
uba3
uba5
uba6
ubap2l
ube2a
ube2c
ube2d3
ube2g2
ube2h
ube2j2
ube2n
ube2q1
ube2s
ube2v1
ube2z
ube4b
ubiad1
ubqln4
ubr5
uchl5
ufc1
ufl1
ufm1
ugcg
ugp2
umps
unc119
unc45a
unc50
uqcrb
uqcrc1
uqcrc2
uqcrfs1
uqcrq
urm1
urod
uros
use1
usp1
usp10
usp18
usp7
usp9x
utp23
utp3
uxs1
vars2
vbp1
vcl
vcpip1
vdac2
vezf1
vezt
vhl
vma21
vps13d
vps16
vps29
vps33a
vps35
vps36
vps37a
vps39
vps41
vps45
vps4a
vps4b
vps52
vps53
vps54
vps72
vps8
vrk1
vti1b
wac
wars2
wasf2
wbp1
wdr1
wdr24
wdr26
wdr4
wdr44
wdr48
wdr59
wdr7
wdr73
wdr83
wnk1
wrn
wtap
wwtr1
xpo5
xpot
xpr1
xrcc1
xrcc2
xrcc3
xrcc4
xrn1
xylt2
yap1
yars2
yeats2
yipf5
yme1l1
ypel5
yrdc
ythdf2
ywhae
yy1
zbtb17
zbtb7a
zc3h10
zc3h13
zc3h18
zc3h3
zcrb1
zeb1
zeb2
zfand5
zfc3h1
zfp36l1
zfp36l2
zfr
zfx
zmynd8
znf143
znf217
znf236
znf335
znf407
znf511
znf574
znf593
znf622
znf638
znhit1
znhit3
zranb2
zrsr2
zw10
zwint
zzz3
